"","studyName","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","speciesMatched","family","pft","growingCondition","status","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","h.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","count"
"20100","Williams2005","Katherine",-14.7,132.7,"Sav",950,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235061816323222,NA,NA,NA,12.2,NA,NA,0.173,1.3,NA,NA,NA,NA,NA,NA,NA,100.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20101","Williams2005","Katherine",-14.7,132.7,"Sav",950,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0147411381288067,NA,NA,NA,10,NA,NA,0.137,1.3,NA,NA,NA,NA,NA,NA,NA,59.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20102","Williams2005","Katherine",-14.7,132.7,"Sav",950,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00282743338823081,NA,NA,NA,5.4,NA,NA,0.06,1.3,NA,NA,NA,NA,NA,NA,NA,8.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20103","Williams2005","Katherine",-14.7,132.7,"Sav",950,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00465662571078347,NA,NA,NA,7.7,NA,NA,0.077,1.3,NA,NA,NA,NA,NA,NA,NA,15.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"20104","Williams2005","Katherine",-14.7,132.7,"Sav",950,NA,NA,NA,"Eucalyptus tetrodonta","Eucalyptus tetrodonta","Myrtaceae","savanna_tree","FW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00882473376393373,NA,NA,NA,12.5,NA,NA,0.106,1.3,NA,NA,NA,NA,NA,NA,NA,50.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
"12063","OGrady2000","Howard Springs, NT, Australia",-12.44,131.12,"Sav",1700,NA,"SITE = 1",NA,"Terminalia ferdinandiana","Terminalia ferdinandiana",NA,"savanna_tree","FW",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00650388219109427,NA,NA,NA,NA,NA,NA,0.091,1.3,NA,NA,3.5,NA,NA,NA,48.125,51.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"12064","OGrady2000","Howard Springs, NT, Australia",-12.44,131.12,"Sav",1700,NA,"SITE = 1",NA,"Terminalia ferdinandiana","Terminalia ferdinandiana",NA,"savanna_tree","FW",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00196349540849362,NA,NA,NA,NA,NA,NA,0.05,1.3,NA,NA,0.75,NA,NA,NA,10.5,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"12093","OGrady2000","Howard Springs, NT, Australia",-12.44,131.12,"Sav",1700,NA,"SITE = 5",NA,"Terminalia ferdinandiana","Terminalia ferdinandiana",NA,"savanna_tree","FW",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000530929158456675,NA,NA,NA,NA,NA,NA,0.026,1.3,NA,NA,0.3,NA,NA,NA,1.675,1.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"12094","OGrady2000","Howard Springs, NT, Australia",-12.44,131.12,"Sav",1700,NA,"SITE = 5",NA,"Terminalia ferdinandiana","Terminalia ferdinandiana",NA,"savanna_tree","FW",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00152053084433746,NA,NA,NA,NA,NA,NA,0.044,1.3,NA,NA,0.875,NA,NA,NA,6,6.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"12095","OGrady2000","Howard Springs, NT, Australia",-12.44,131.12,"Sav",1700,NA,"SITE = 5",NA,"Terminalia ferdinandiana","Terminalia ferdinandiana",NA,"savanna_tree","FW",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000615752160103599,NA,NA,NA,NA,NA,NA,0.028,1.3,NA,NA,0.2,NA,NA,NA,1.85,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"20105","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Terminalia ferdinandiana","Terminalia ferdinandiana","Combretaceae","savanna_tree","FW",NA,NA,NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00502654824574367,NA,NA,NA,6.7,3.7,NA,0.08,1.3,NA,3,1,NA,NA,2.51,17.1,18.1,6.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"20106","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Terminalia ferdinandiana","Terminalia ferdinandiana","Combretaceae","savanna_tree","FW",NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00865901475145687,NA,NA,NA,6.8,5,NA,0.105,1.3,NA,1.8,2.18,NA,NA,5.05,39.98,42.16,18.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
"20107","Williams2005","Humpty Doo",-12.5,131.3,"Sav",1600,NA,NA,NA,"Terminalia ferdinandiana","Terminalia ferdinandiana","Combretaceae","savanna_tree","FW",NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00817128249198705,NA,NA,NA,8,6.2,NA,0.102,1.3,NA,1.8,2.29,NA,NA,6.36,33.7,35.99,6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244
