"","Specie","Long","Lat","LA.SA","Sample","Height","Alpha","MI","References","X","X.1","LA.SA..m2.m.2.","X.2","count","pft"
"153","Eucalyptus globulus",149.02,-37.58,3.25,"trunk",NA,0.69,0.68,"Forrester et al. 2010b",NA,NA,1782.5311942959,NA,182,"tall_sclerophyll_resprout"
"154","Eucalyptus globulus",149.02,-37.58,3.27,"trunk",NA,0.69,0.68,"Forrester et al. 2010b",NA,NA,1883.23917137477,NA,182,"tall_sclerophyll_resprout"
"155","Eucalyptus globulus",149.02,-37.58,3.28,"trunk",NA,0.71,0.94,"Forrester et al. 2010b",NA,NA,1915.70881226054,NA,182,"tall_sclerophyll_resprout"
"156","Eucalyptus globulus",149.02,-37.58,3.28,"trunk",NA,0.71,0.94,"Forrester et al. 2010b",NA,NA,1912.04588910134,NA,182,"tall_sclerophyll_resprout"
"157","Eucalyptus globulus",149.02,-37.58,3.28,"trunk",NA,0.71,0.94,"Forrester et al. 2010b",NA,NA,1904.76190476191,NA,182,"tall_sclerophyll_resprout"
"324","Eucalyptus globulus",147.6,-42.82,3.77,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,5900.00000000001,NA,182,"tall_sclerophyll_resprout"
"325","Eucalyptus globulus",147.6,-42.82,3.77,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,5900.00000000001,NA,182,"tall_sclerophyll_resprout"
"326","Eucalyptus globulus",147.6,-42.82,3.87,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,7400.00000000001,NA,182,"tall_sclerophyll_resprout"
"327","Eucalyptus globulus",147.6,-42.82,3.76,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,5800.00000000001,NA,182,"tall_sclerophyll_resprout"
"328","Eucalyptus globulus",147.6,-42.82,3.92,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,8300.00000000001,NA,182,"tall_sclerophyll_resprout"
"329","Eucalyptus globulus",147.6,-42.82,3.7,"trunk",NA,NA,NA,"White et al. 1998",NA,NA,5000,NA,182,"tall_sclerophyll_resprout"
"356","Eucalyptus globulus",147.5,-42.82,3.67,"trunk",NA,NA,NA,"O'Glady et al. 2006",NA,NA,4716.98113207547,NA,182,"tall_sclerophyll_resprout"
"357","Eucalyptus globulus",147.5,-42.82,3.75,"trunk",NA,NA,NA,"O'Glady et al. 2006",NA,NA,5649.7175141243,NA,182,"tall_sclerophyll_resprout"
"358","Eucalyptus globulus",147.5,-42.82,3.73,"trunk",NA,NA,NA,"O'Glady et al. 2006",NA,NA,5319.14893617022,NA,182,"tall_sclerophyll_resprout"
"359","Eucalyptus globulus",147.5,-42.82,3.93,"trunk",NA,NA,NA,"O'Glady et al. 2006",NA,NA,8474.57627118644,NA,182,"tall_sclerophyll_resprout"
"435","Eucalyptus globulus",147.68,-41.78,3.29,"trunk",NA,0.5,0.47,"Feikema et al. 2010",NA,NA,1960.74910979711,NA,182,"tall_sclerophyll_resprout"
"436","Eucalyptus globulus",147.68,-41.78,3.25,"trunk",NA,0.56,0.77,"Feikema et al. 2010",NA,NA,1788.27841333767,NA,182,"tall_sclerophyll_resprout"
"437","Eucalyptus globulus",143.58,-38.87,3.43,"trunk",NA,NA,NA,"Feikema et al. 2010",NA,NA,2721.35241560418,NA,182,"tall_sclerophyll_resprout"
"438","Eucalyptus globulus",144.6,-38.58,3.54,"trunk",NA,NA,NA,"Feikema et al. 2010",NA,NA,3429.01598814781,NA,182,"tall_sclerophyll_resprout"
"439","Eucalyptus globulus",148.32,-38.3,3.39,"trunk",NA,NA,NA,"Feikema et al. 2010",NA,NA,2465.36485772694,NA,182,"tall_sclerophyll_resprout"
"440","Eucalyptus globulus",147.12,-37.28,3.43,"trunk",NA,0.7,1,"Feikema et al. 2010",NA,NA,2673.87805572978,NA,182,"tall_sclerophyll_resprout"
"441","Eucalyptus globulus",144.48,-37.57,3.59,"trunk",NA,NA,NA,"Feikema et al. 2010",NA,NA,3932.7696689317,NA,182,"tall_sclerophyll_resprout"
"244","Eucalyptus sieberi",149.58,-37.48,4.02,"trunk",NA,0.61,0.64,"Roberts et al. 2001",NA,NA,10449.3207941484,NA,479,"tall_sclerophyll_resprout"
"245","Eucalyptus sieberi",149.58,-37.48,3.68,"trunk",NA,0.61,0.64,"Roberts et al. 2001",NA,NA,4807.69230769231,NA,479,"tall_sclerophyll_resprout"
"246","Eucalyptus sieberi",149.58,-37.48,3.57,"trunk",NA,0.61,0.64,"Roberts et al. 2001",NA,NA,3690.03690036901,NA,479,"tall_sclerophyll_resprout"
"247","Eucalyptus sieberi",149.58,-37.48,3.14,"trunk",NA,0.61,0.64,"Roberts et al. 2001",NA,NA,1367.98905608755,NA,479,"tall_sclerophyll_resprout"
"248","Eucalyptus sieberi",149.58,-37.48,4.15,"trunk",NA,0.61,0.64,"Roberts et al. 2001",NA,NA,14224.7510668564,NA,479,"tall_sclerophyll_resprout"
