Specie,Long,Lat,LA:SA,Sample,Height,Alpha,MI,References,,,LA:SA (m2 m-2),
Eucalyptus globulus ,143.64,-37.61,3.50,trunk,,0.54,0.67,Forrester et al. 2010a,,,3194.888178913740,
Eucalyptus globulus ,143.64,-37.61,3.53,trunk,,0.54,0.67,Forrester et al. 2010a,,,3367.003367003370,
Eucalyptus globulus ,143.79,-37.69,3.50,trunk,,0.55,0.69,Forrester et al. 2010a,,,3194.888178913740,
Eucalyptus globulus ,143.79,-37.69,3.49,trunk,,0.55,0.69,Forrester et al. 2010a,,,3095.975232198140,
Eucalyptus globulus ,143.79,-37.69,3.59,trunk,,0.55,0.69,Forrester et al. 2010a,,,3846.153846153850,
Eucalyptus globulus ,143.79,-37.69,3.54,trunk,,0.55,0.69,Forrester et al. 2010a,,,3496.503496503500,
Eucalyptus globulus ,143.79,-37.69,3.46,trunk,,0.55,0.69,Forrester et al. 2010a,,,2857.142857142860,
Eucalyptus globulus ,144.03,-37.61,3.52,trunk,,0.59,0.76,Forrester et al. 2010a,,,3344.481605351180,
Eucalyptus globulus ,144.03,-37.61,3.47,trunk,,0.59,0.76,Forrester et al. 2010a,,,2976.190476190480,
Eucalyptus globulus ,144.03,-37.61,3.48,trunk,,0.59,0.76,Forrester et al. 2010a,,,3030.303030303030,
Acacia mearnsii ,149.02,-37.58,3.40,trunk,,0.69,0.68,Forrester et al. 2010b,,,2512.562814070350,
Acacia mearnsii ,149.02,-37.58,3.29,trunk,,0.69,0.68,Forrester et al. 2010b,,,1964.636542239690,
Acacia mearnsii ,149.02,-37.58,3.38,trunk,,0.69,0.68,Forrester et al. 2010b,,,2375.296912114020,
Acacia mearnsii ,149.02,-37.58,3.40,trunk,,0.71,0.94,Forrester et al. 2010b,,,2518.891687657430,
Acacia mearnsii ,149.02,-37.58,3.34,trunk,,0.71,0.94,Forrester et al. 2010b,,,2212.389380530980,
Acacia mearnsii ,149.02,-37.58,3.35,trunk,,0.71,0.94,Forrester et al. 2010b,,,2262.443438914030,
Acacia mearnsii ,149.02,-37.58,3.41,trunk,,0.69,0.68,Forrester et al. 2010b,,,2544.529262086520,
Acacia mearnsii ,149.02,-37.58,3.57,trunk,,0.69,0.68,Forrester et al. 2010b,,,3690.036900369010,
Acacia mearnsii ,149.02,-37.58,3.45,trunk,,0.69,0.68,Forrester et al. 2010b,,,2832.861189801700,
